source,target,value,naturalCourt,type
79,86,24.292369,1401,nonCL
79,88,-6.414893,1401,nonCL
79,89,15.575419,1401,nonCL
80,90,-10.794543,1401,nonCL
80,78,11.860614,1401,nonCL
80,79,-16.244977,1401,nonCL
80,81,-16.154309,1401,nonCL
80,84,25.949446,1401,nonCL
80,86,9.276119,1401,nonCL
80,88,13.461546,1401,nonCL
80,89,20.270386,1401,nonCL
81,90,-3.528522,1401,nonCL
81,78,12.439024,1401,nonCL
81,79,-7.944329,1401,nonCL
81,80,-10.554577,1401,nonCL
81,84,13.370918,1401,nonCL
81,86,13.517157,1401,nonCL
81,88,17.931014,1401,nonCL
81,89,22.255185,1401,nonCL
84,90,4.796329,1401,nonCL
84,78,-19.388461,1401,nonCL
84,79,4.524014,1401,nonCL
84,80,23.676920,1401,nonCL
84,81,12.784110,1401,nonCL
84,86,6.255932,1401,nonCL
84,88,5.309910,1401,nonCL
84,89,-6.679767,1401,nonCL
86,90,2.231956,1401,nonCL
86,78,-11.308815,1401,nonCL
86,79,16.178572,1401,nonCL
86,80,-2.669627,1401,nonCL
86,81,2.027370,1401,nonCL
86,84,4.050599,1401,nonCL
86,88,14.257838,1401,nonCL
86,89,-6.861912,1401,nonCL
88,90,24.766195,1401,nonCL
88,78,-0.836887,1401,nonCL
88,79,-4.044460,1401,nonCL
88,80,6.077959,1401,nonCL
88,81,13.708801,1401,nonCL
88,84,-3.364412,1401,nonCL
88,86,13.501018,1401,nonCL
88,89,-5.289149,1401,nonCL
89,90,4.032498,1401,nonCL
89,78,-7.331504,1401,nonCL
89,79,7.455494,1401,nonCL
89,80,11.309637,1401,nonCL
89,81,15.321338,1401,nonCL
89,84,-8.706767,1401,nonCL
89,86,-0.729884,1401,nonCL
89,88,0.212226,1401,nonCL
78,81,26.711594,1402,CL
78,90,-25.580417,1402,CL
78,88,24.585645,1402,CL
78,80,14.078250,1402,CL
78,86,-17.723899,1402,CL
78,79,-2.041713,1402,CL
78,89,18.459875,1402,CL
81,78,19.747717,1402,CL
81,90,14.028572,1402,CL
81,88,4.939902,1402,CL
81,80,28.394199,1402,CL
81,86,0.726411,1402,CL
81,79,-16.294115,1402,CL
81,89,-8.902456,1402,CL
90,78,-21.638941,1402,CL
90,81,13.684244,1402,CL
90,88,23.981705,1402,CL
90,80,44.472735,1402,CL
90,86,4.028822,1402,CL
90,79,-7.740693,1402,CL
90,89,9.923053,1402,CL
88,78,23.020701,1402,CL
88,81,0.190723,1402,CL
88,90,26.881091,1402,CL
88,80,6.252743,1402,CL
88,86,38.244051,1402,CL
88,79,-6.946770,1402,CL
88,89,14.735381,1402,CL
80,78,7.465093,1402,CL
80,81,16.146782,1402,CL
80,90,24.184892,1402,CL
80,88,7.960085,1402,CL
80,86,4.061492,1402,CL
80,79,-9.521537,1402,CL
80,89,2.636153,1402,CL
86,78,-11.211471,1402,CL
86,81,-3.729037,1402,CL
86,90,5.284594,1402,CL
86,88,24.993337,1402,CL
86,80,1.436394,1402,CL
86,79,26.505945,1402,CL
86,89,-2.874667,1402,CL
79,78,6.785519,1402,CL
79,81,-20.509418,1402,CL
79,90,0.511009,1402,CL
79,88,5.444573,1402,CL
79,80,-3.448745,1402,CL
79,86,32.645702,1402,CL
79,89,42.462814,1402,CL
89,78,10.128841,1402,CL
89,81,-19.021067,1402,CL
89,90,3.450606,1402,CL
89,88,6.945662,1402,CL
89,80,-1.880741,1402,CL
89,86,-2.462513,1402,CL
89,79,30.933964,1402,CL
90,78,16.287606,1402,nonCL
90,79,8.197721,1402,nonCL
90,80,3.764424,1402,nonCL
90,81,6.203502,1402,nonCL
90,86,5.374022,1402,nonCL
90,88,17.975399,1402,nonCL
90,89,14.059137,1402,nonCL
78,90,18.305686,1402,nonCL
78,79,-18.054332,1402,nonCL
78,80,0.214844,1402,nonCL
78,81,38.182119,1402,nonCL
78,86,5.316960,1402,nonCL
78,88,15.501492,1402,nonCL
78,89,5.481309,1402,nonCL
79,90,10.627100,1402,nonCL
79,78,-21.858406,1402,nonCL
79,80,-25.787510,1402,nonCL
79,81,12.856904,1402,nonCL
79,86,16.990581,1402,nonCL
79,88,20.881604,1402,nonCL
79,89,5.720482,1402,nonCL
80,90,15.361014,1402,nonCL
80,78,-0.117683,1402,nonCL
80,79,-25.625916,1402,nonCL
80,81,-8.655593,1402,nonCL
80,86,24.916244,1402,nonCL
80,88,-3.646894,1402,nonCL
80,89,33.515649,1402,nonCL
81,90,13.574989,1402,nonCL
81,78,31.644031,1402,nonCL
81,79,9.104178,1402,nonCL
81,80,-0.794014,1402,nonCL
81,86,-14.175308,1402,nonCL
81,88,-3.677002,1402,nonCL
81,89,-2.629478,1402,nonCL
86,90,10.036743,1402,nonCL
86,78,6.951616,1402,nonCL
86,79,18.088015,1402,nonCL
86,80,31.716228,1402,nonCL
86,81,-23.539543,1402,nonCL
86,88,22.108374,1402,nonCL
86,89,-26.511521,1402,nonCL
88,90,14.212227,1402,nonCL
88,78,16.071468,1402,nonCL
88,79,14.507047,1402,nonCL
88,80,-4.764419,1402,nonCL
88,81,-4.750405,1402,nonCL
88,86,12.285139,1402,nonCL
88,89,12.038525,1402,nonCL
89,90,17.633817,1402,nonCL
89,78,6.993170,1402,nonCL
89,79,6.399870,1402,nonCL
89,80,32.858324,1402,nonCL
89,81,-5.737012,1402,nonCL
89,86,-20.915984,1402,nonCL
89,88,16.174716,1402,nonCL
91,78,-28.116312,1403,CL
91,81,25.475931,1403,CL
91,90,-3.825563,1403,CL
91,88,-11.986129,1403,CL
91,80,23.701051,1403,CL
91,86,-0.121670,1403,CL
91,79,-1.580266,1403,CL
91,89,23.706542,1403,CL
78,91,-15.490594,1403,CL
78,81,22.280609,1403,CL
78,90,16.366268,1403,CL
78,88,8.496276,1403,CL
78,80,14.619610,1403,CL
78,86,-6.865936,1403,CL
78,79,-5.831030,1403,CL
78,89,-4.478774,1403,CL
81,91,5.463523,1403,CL
81,78,20.946748,1403,CL
81,90,15.337594,1403,CL
81,88,10.750479,1403,CL
81,80,-3.197919,1403,CL
81,86,-10.317240,1403,CL
81,79,-4.924921,1403,CL
81,89,-14.646168,1403,CL
90,91,-1.517430,1403,CL
90,78,15.843660,1403,CL
90,81,15.045614,1403,CL
90,88,-1.698723,1403,CL
90,80,-5.853242,1403,CL
90,86,-2.202019,1403,CL
90,79,0.357771,1403,CL
90,89,7.402428,1403,CL
88,91,-11.387778,1403,CL
88,78,4.648447,1403,CL
88,81,1.752666,1403,CL
88,90,-4.762175,1403,CL
88,80,2.797848,1403,CL
88,86,-8.626455,1403,CL
88,79,15.223045,1403,CL
88,89,5.035841,1403,CL
80,91,25.164173,1403,CL
80,78,16.290781,1403,CL
80,81,-3.460409,1403,CL
80,90,-5.831647,1403,CL
80,88,-1.935197,1403,CL
80,86,25.346661,1403,CL
80,79,-28.502557,1403,CL
80,89,6.858039,1403,CL
86,91,-0.524195,1403,CL
86,78,1.918245,1403,CL
86,81,-12.473557,1403,CL
86,90,-7.183299,1403,CL
86,88,-9.746434,1403,CL
86,80,6.657541,1403,CL
86,79,14.926140,1403,CL
86,89,-2.358932,1403,CL
79,91,7.241004,1403,CL
79,78,-4.369095,1403,CL
79,81,-8.641539,1403,CL
79,90,10.585852,1403,CL
79,88,28.057468,1403,CL
79,80,-22.739379,1403,CL
79,86,24.302123,1403,CL
79,89,32.593267,1403,CL
89,91,14.788949,1403,CL
89,78,-2.569054,1403,CL
89,81,-8.635647,1403,CL
89,90,13.575263,1403,CL
89,88,1.700811,1403,CL
89,80,-6.844022,1403,CL
89,86,-0.921876,1403,CL
89,79,19.117750,1403,CL
91,78,-1.502280,1403,nonCL
91,81,8.163950,1403,nonCL
91,90,2.285380,1403,nonCL
91,88,14.798144,1403,nonCL
91,80,31.302659,1403,nonCL
91,86,21.491122,1403,nonCL
91,79,-13.656197,1403,nonCL
91,89,6.243016,1403,nonCL
78,91,-8.875448,1403,nonCL
78,81,8.335544,1403,nonCL
78,90,22.030269,1403,nonCL
78,88,2.973027,1403,nonCL
78,80,-7.618347,1403,nonCL
78,86,-11.681313,1403,nonCL
78,79,1.001854,1403,nonCL
78,89,-17.589095,1403,nonCL
81,91,12.528245,1403,nonCL
81,78,12.964902,1403,nonCL
81,90,26.334635,1403,nonCL
81,88,-11.555089,1403,nonCL
81,80,-14.904119,1403,nonCL
81,86,-8.262797,1403,nonCL
81,79,10.871966,1403,nonCL
81,89,4.342021,1403,nonCL
90,91,-11.774076,1403,nonCL
90,78,24.297169,1403,nonCL
90,81,30.408113,1403,nonCL
90,88,25.431785,1403,nonCL
90,80,3.926218,1403,nonCL
90,86,6.524517,1403,nonCL
90,79,-24.185954,1403,nonCL
90,89,-1.098679,1403,nonCL
88,91,7.710535,1403,nonCL
88,78,6.466937,1403,nonCL
88,81,-16.642352,1403,nonCL
88,90,18.980163,1403,nonCL
88,80,-5.414911,1403,nonCL
88,86,-5.400620,1403,nonCL
88,79,15.119783,1403,nonCL
88,89,11.129896,1403,nonCL
80,91,15.061538,1403,nonCL
80,78,2.642466,1403,nonCL
80,81,-6.666263,1403,nonCL
80,90,5.219644,1403,nonCL
80,88,-3.473139,1403,nonCL
80,86,5.809423,1403,nonCL
80,79,6.102640,1403,nonCL
80,89,10.143336,1403,nonCL
86,91,11.138555,1403,nonCL
86,78,-12.558499,1403,nonCL
86,81,-10.200378,1403,nonCL
86,90,5.059669,1403,nonCL
86,88,-10.338152,1403,nonCL
86,80,3.959334,1403,nonCL
86,79,14.757611,1403,nonCL
86,89,3.298369,1403,nonCL
79,91,-14.635833,1403,nonCL
79,78,16.201052,1403,nonCL
79,81,11.192833,1403,nonCL
79,90,-9.096723,1403,nonCL
79,88,16.781355,1403,nonCL
79,80,12.793796,1403,nonCL
79,86,30.842956,1403,nonCL
79,89,21.797267,1403,nonCL
89,91,-1.058409,1403,nonCL
89,78,-7.859758,1403,nonCL
89,81,-1.821363,1403,nonCL
89,90,6.826149,1403,nonCL
89,88,6.522994,1403,nonCL
89,80,5.166168,1403,nonCL
89,86,2.385871,1403,nonCL
89,79,4.909038,1403,nonCL
91,78,-5.534375,1404,CL
91,81,-5.525581,1404,CL
91,92,8.785150,1404,CL
91,90,10.574967,1404,CL
91,88,-21.634639,1404,CL
91,80,10.219081,1404,CL
91,86,13.761509,1404,CL
91,79,20.636731,1404,CL
78,91,-1.883605,1404,CL
78,81,37.418179,1404,CL
78,92,18.682035,1404,CL
78,90,16.566045,1404,CL
78,88,0.239965,1404,CL
78,80,10.657046,1404,CL
78,86,-14.810373,1404,CL
78,79,-1.386711,1404,CL
81,91,-2.207008,1404,CL
81,78,34.955106,1404,CL
81,92,18.682889,1404,CL
81,90,17.994845,1404,CL
81,88,0.022637,1404,CL
81,80,10.693443,1404,CL
81,86,-14.039091,1404,CL
81,79,0.310594,1404,CL
92,91,4.454045,1404,CL
92,78,11.677616,1404,CL
92,81,12.186408,1404,CL
92,90,4.462950,1404,CL
92,88,5.972092,1404,CL
92,80,1.115854,1404,CL
92,86,-7.359114,1404,CL
92,79,4.285839,1404,CL
90,91,11.182211,1404,CL
90,78,18.953974,1404,CL
90,81,18.273023,1404,CL
90,92,13.357297,1404,CL
90,88,8.643091,1404,CL
90,80,-18.804792,1404,CL
90,86,-7.493029,1404,CL
90,79,3.444385,1404,CL
88,91,-21.469871,1404,CL
88,78,-1.948325,1404,CL
